theta,y
-88.5167464114832,0.000835820895522388
-86.3636363636363,0.000955223880597015
-83.9712918660287,0.00119402985074626
-81.8181818181818,0.00143283582089552
-79.6650717703349,0.00226865671641791
-77.7511961722488,0.000835820895522388
-75.5980861244019,0.00143283582089552
-73.444976076555,0.00226865671641791
-71.5311004784689,0.00155223880597014
-69.377990430622,0.00191044776119403
-67.7033492822966,0.00250746268656716
-65.7894736842105,0.00262686567164179
-63.6363636363636,0.00238805970149253
-61.4832535885167,0.00226865671641791
-59.3301435406698,0.00286567164179104
-57.4162679425837,0.00298507462686567
-55.5023923444976,0.00274626865671641
-53.5885167464114,0.00298507462686567
-51.4354066985645,0.00322388059701492
-49.5215311004784,0.00286567164179104
-47.3684210526315,0.00346268656716417
-45.4545454545454,0.00226865671641791
-43.5406698564593,0.00417910447761194
-41.3875598086124,0.00501492537313432
-39.4736842105263,0.00644776119402985
-37.5598086124401,0.00620895522388059
-35.645933014354,0.00585074626865671
-34.2105263157894,0.00740298507462686
-32.0574162679425,0.00943283582089552
-30.1435406698564,0.0103880597014925
-28.2296650717703,0.0136119402985074
-26.0765550239234,0.0195820895522388
-23.6842105263157,0.0195820895522388
-21.5311004784689,0.00776119402985074
-19.377990430622,0.00143283582089552
-17.2248803827751,0.000238805970149253
-15.0,0.0
-12.5,0.0
-10.0,0.0
-7.5,0.0
-5.0,0.0
-2.5,0.0
0.0,0.0
2.5,0.0
5.0,0.0
7.5,0.0
10.0,0.0
12.5,0.0
15.0,0.0
17.4641148325358,0.000238805970149253
19.377990430622,0.00429850746268656
21.5311004784689,0.016955223880597
24.1626794258373,0.0485970149253731
26.3157894736842,0.0425074626865671
28.4688995215311,0.0286567164179104
30.3827751196172,0.0208955223880597
32.2966507177033,0.0174328358208955
34.4497607655502,0.0161194029850746
36.3636363636363,0.0152835820895522
38.2775119617224,0.0117014925373134
40.4306220095693,0.010865671641791
42.3444976076555,0.0097910447761194
44.2583732057416,0.00752238805970149
46.4114832535885,0.00811940298507462
48.3253588516746,0.00656716417910447
50.4784688995215,0.00752238805970149
52.3923444976076,0.00656716417910447
54.3062200956937,0.00585074626865671
56.4593301435406,0.00513432835820895
58.3732057416267,0.0048955223880597
58.3732057416267,0.0048955223880597
60.2870813397129,0.00441791044776119
62.200956937799,0.00334328358208955
64.3540669856459,0.00310447761194029
66.267942583732,0.00262686567164179
68.4210526315789,0.00202985074626865
70.334928229665,0.00226865671641791
72.2488038277511,0.00214925373134328
74.401913875598,0.00202985074626865
76.3157894736842,0.00131343283582089
78.2296650717703,0.00214925373134328
80.3827751196172,0.00238805970149253
82.2966507177033,0.00214925373134328
84.2105263157894,0.00214925373134328
85.645933014354,0.00155223880597014
87.5598086124402,0.00191044776119403
89.712918660287,0.00143283582089552
91.1483253588516,0.000716417910447761
