h_range,h_theor,theta_range,theta_theor
0.0,0.0,-90.0,0.0
4.04040404040404e-08,0.0,-88.18181818181817,1.8122582480812524e-12
8.08080808080808e-08,0.0,-86.36363636363636,7.257141965793394e-12
1.2121212121212122e-07,0.0,-84.54545454545455,1.635949803052802e-11
1.616161616161616e-07,0.0,-82.72727272727273,2.915991333017801e-11
2.02020202020202e-07,0.0,-80.9090909090909,4.5716380384392617e-11
2.4242424242424244e-07,0.0,-79.0909090909091,6.610314822790097e-11
2.8282828282828283e-07,0.0,-77.27272727272727,9.041249086800655e-11
3.232323232323232e-07,0.0,-75.45454545454545,1.1875427545339129e-10
3.636363636363636e-07,0.0,-73.63636363636363,1.512567435761968e-10
4.04040404040404e-07,0.0,-71.81818181818183,1.8806727489869283e-10
4.4444444444444444e-07,0.0,-70.0,2.2935313953374162e-10
4.848484848484849e-07,0.0,-68.18181818181819,2.753023076784041e-10
5.252525252525252e-07,0.0,-66.36363636363636,3.2612349973135323e-10
5.656565656565657e-07,7.263912744589801e-34,-64.54545454545453,3.820492190699005e-10
6.06060606060606e-07,1.0770859263293072e-23,-62.72727272727273,4.43335205562534e-10
6.464646464646464e-07,7.054931726061732e-17,-60.909090909090914,5.102615995737451e-10
6.868686868686869e-07,2.8929230451557855e-12,-59.090909090909086,5.831350583191719e-10
7.272727272727272e-07,3.851043594441275e-09,-57.27272727272727,6.62288981121153e-10
7.676767676767677e-07,5.058032046155168e-07,-55.45454545454545,7.480869923466283e-10
8.08080808080808e-07,1.3885196527078841e-05,-53.63636363636363,8.409210965929274e-10
8.484848484848484e-07,0.00013224929952648508,-51.81818181818182,9.412161083057228e-10
8.888888888888889e-07,0.0006152327953586422,-50.0,1.0494292952958763e-09
9.292929292929292e-07,0.0017605855676605868,-48.18181818181818,1.1660521041691458e-09
9.696969696969698e-07,0.0036203188170799605,-46.36363636363636,1.2916124740367476e-09
1.01010101010101e-06,0.005939535646350663,-44.54545454545454,1.4266732815785982e-09
1.0505050505050504e-06,0.008341672855994452,-42.72727272727272,1.5718348462742758e-09
1.0909090909090908e-06,0.010515504223674655,-40.90909090909091,1.7277347568813015e-09
1.1313131313131313e-06,0.012284672878336853,-39.090909090909086,1.895045371780205e-09
1.1717171717171716e-06,0.01359098398386647,-37.272727272727266,2.0744721542643245e-09
1.212121212121212e-06,0.014451040688303626,-35.45454545454545,2.266748890541029e-09
1.2525252525252525e-06,0.014918240788016315,-33.63636363636363,2.4726302431513123e-09
1.2929292929292929e-06,0.015057470913785438,-31.818181818181817,2.6928771056648242e-09
1.3333333333333332e-06,0.014925821553598171,-29.999999999999993,2.9282387997589404e-09
1.3737373737373738e-06,0.01455622400824798,-28.18181818181818,3.179422414822561e-09
1.414141414141414e-06,0.01396139784126297,-26.363636363636356,3.447049269181809e-09
1.4545454545454544e-06,0.013161297607003498,-24.545454545454543,3.731587239739064e-09
1.494949494949495e-06,0.01220169781668834,-22.72727272727272,4.033255925795049e-09
1.5353535353535353e-06,0.011147251476774271,-20.90909090909091,4.351884525404411e-09
1.5757575757575756e-06,0.010063139890238961,-19.090909090909083,4.686718545033702e-09
1.616161616161616e-06,0.00900169990804117,-17.272727272727273,5.0361435738996e-09
1.6565656565656565e-06,0.007998123454180798,-15.454545454545448,5.3973248533026696e-09
1.6969696969696969e-06,0.007072210909766,-13.636363636363637,5.765748950392099e-09
1.7373737373737372e-06,0.006232309878298337,-11.818181818181813,6.134699246069624e-09
1.7777777777777777e-06,0.005479247388773046,-10.000000000000002,6.494750806374993e-09
1.818181818181818e-06,0.004809385574049088,-8.181818181818176,6.8334570258642445e-09
1.8585858585858584e-06,0.0042167472857377875,-6.363636363636366,7.135520542282989e-09
1.898989898989899e-06,0.003694350773818161,-4.545454545454541,7.3837786697953964e-09
1.9393939393939395e-06,0.003235016358496429,-2.7272727272727173,7.56123514546972e-09
1.9797979797979796e-06,0.002831808352547586,-0.9090909090909057,7.653933595138033e-09
2.02020202020202e-06,0.002478272693074364,0.9090909090909185,7.653933595138033e-09
2.0606060606060603e-06,0.0021685288843270594,2.72727272727273,7.56123514546972e-09
2.101010101010101e-06,0.0018972941034937798,4.545454545454554,7.3837786697953964e-09
2.1414141414141414e-06,0.0016598637454765604,6.363636363636366,7.135520542282989e-09
2.1818181818181815e-06,0.001452074435786998,8.18181818181819,6.8334570258642445e-09
2.222222222222222e-06,0.0012702560241334968,10.000000000000002,6.494750806374993e-09
2.2626262626262626e-06,0.0011111776470918348,11.818181818181825,6.134699246069624e-09
2.3030303030303027e-06,0.0009720066081914808,13.636363636363637,5.765748950392099e-09
2.3434343434343433e-06,0.0008502574751583729,15.454545454545462,5.3973248533026696e-09
2.383838383838384e-06,0.0007437528542298125,17.272727272727273,5.0361435738996e-09
2.424242424242424e-06,0.000650586125484398,19.090909090909097,4.686718545033702e-09
2.4646464646464645e-06,0.0005690883088409008,20.90909090909091,4.351884525404411e-09
2.505050505050505e-06,0.0004977984466957062,22.727272727272734,4.033255925795049e-09
2.545454545454545e-06,0.0004354388650549638,24.545454545454543,3.731587239739064e-09
2.5858585858585857e-06,0.0003808903619556319,26.363636363636367,3.447049269181809e-09
2.6262626262626263e-06,0.00033317513965093644,28.18181818181818,3.179422414822561e-09
2.6666666666666664e-06,0.0002914371480702057,30.000000000000018,2.9282387997589404e-09
2.707070707070707e-06,0.0002549277782552436,31.818181818181827,2.6928771056648242e-09
2.7474747474747475e-06,0.00022299207051364466,33.63636363636364,2.4726302431513123e-09
2.7878787878787876e-06,0.00019505692106544872,35.45454545454545,2.266748890541029e-09
2.828282828282828e-06,0.0001706213966889958,37.27272727272729,2.0744721542643245e-09
2.8686868686868687e-06,0.00014924703357794455,39.0909090909091,1.895045371780205e-09
2.909090909090909e-06,0.00013055030391527226,40.909090909090914,1.7277347568813185e-09
2.9494949494949494e-06,0.00011419567309477627,42.72727272727272,1.5718348462742758e-09
2.98989898989899e-06,9.98899445901722e-05,44.54545454545456,1.4266732815785982e-09
3.03030303030303e-06,8.73763503530723e-05,46.363636363636374,1.2916124740367476e-09
3.0707070707070706e-06,7.643030700792312e-05,48.18181818181818,1.1660521041691458e-09
3.111111111111111e-06,6.685559382445605e-05,49.99999999999999,1.0494292952958763e-09
3.1515151515151513e-06,5.8480283439332134e-05,51.818181818181834,9.412161083057228e-10
3.191919191919192e-06,5.115423451589343e-05,53.63636363636364,8.409210965929274e-10
3.232323232323232e-06,4.4745948794246456e-05,55.45454545454545,7.480869923466283e-10
